run	rep	trueqtl	NotSig	Sig	analysis	TBV_PVE	RAND_PVE
16	rep2	FALSE	46069	0	random	0.810427	0.915484
16	rep2	TRUE	945	0	random	0.810427	0.915484
16	rep3	FALSE	44979	0	random	0.788831	0.91699
16	rep3	TRUE	921	0	random	0.788831	0.91699
16	rep4	FALSE	45053	1	random	0.808425	0.914447
16	rep4	TRUE	904	0	random	0.808425	0.914447
16	rep5	FALSE	45403	0	random	0.796548	0.913192
16	rep5	TRUE	915	0	random	0.796548	0.913192
16	rep6	FALSE	45633	0	random	0.812225	0.916407
16	rep6	TRUE	933	0	random	0.812225	0.916407
16	rep7	FALSE	45197	0	random	0.804183	0.917948
16	rep7	TRUE	912	0	random	0.804183	0.917948
16	rep8	FALSE	45202	2	random	0.81821	0.913929
16	rep8	TRUE	930	0	random	0.81821	0.913929
16	rep9	FALSE	45715	0	random	0.800011	0.910902
16	rep9	TRUE	926	0	random	0.800011	0.910902
17	rep1	FALSE	45669	0	random	0.788053	0.9154
17	rep1	TRUE	460	0	random	0.788053	0.9154
17	rep10	FALSE	45828	0	random	0.787369	0.914134
17	rep10	TRUE	470	0	random	0.787369	0.914134
17	rep2	FALSE	46014	1	random	0.812445	0.910452
17	rep2	TRUE	458	0	random	0.812445	0.910452
17	rep3	FALSE	45722	0	random	0.795483	0.912172
17	rep3	TRUE	463	0	random	0.795483	0.912172
17	rep4	FALSE	46066	0	random	0.806292	0.910422
17	rep4	TRUE	463	0	random	0.806292	0.910422
17	rep5	FALSE	46312	0	random	0.790521	0.909872
17	rep5	TRUE	465	0	random	0.790521	0.909872
17	rep6	FALSE	45838	0	random	0.81987	0.913005
17	rep6	TRUE	467	0	random	0.81987	0.913005
17	rep7	FALSE	45646	0	random	0.825567	0.910617
17	rep7	TRUE	456	0	random	0.825567	0.910617
17	rep8	FALSE	45566	0	random	0.786381	0.911396
17	rep8	TRUE	459	0	random	0.786381	0.911396
17	rep9	FALSE	45749	0	random	0.804823	0.923843
17	rep9	TRUE	467	0	random	0.804823	0.923843
18	rep1	FALSE	45793	1	random	0.780995	0.914357
18	rep1	TRUE	184	0	random	0.780995	0.914357
18	rep10	FALSE	45953	0	random	0.795309	0.910303
18	rep10	TRUE	191	0	random	0.795309	0.910303
18	rep2	FALSE	46202	0	random	0.814796	0.920031
18	rep2	TRUE	176	0	random	0.814796	0.920031
18	rep3	FALSE	45564	0	random	0.803101	0.911624
18	rep3	TRUE	178	0	random	0.803101	0.911624
18	rep4	FALSE	45505	0	random	0.799574	0.911547
18	rep4	TRUE	186	0	random	0.799574	0.911547
18	rep5	FALSE	46117	0	random	0.786645	0.909309
18	rep5	TRUE	184	0	random	0.786645	0.909309
18	rep6	FALSE	46232	2	random	0.786326	0.912766
18	rep6	TRUE	188	0	random	0.786326	0.912766
18	rep7	FALSE	46029	0	random	0.814796	0.908677
18	rep7	TRUE	193	0	random	0.814796	0.908677
18	rep8	FALSE	45673	1	random	0.811897	0.911725
18	rep8	TRUE	174	0	random	0.811897	0.911725
18	rep9	FALSE	46090	3	random	0.802212	0.918025
18	rep9	TRUE	186	0	random	0.802212	0.918025
19	rep1	FALSE	44440	0	random	0.788054	0.908566
19	rep1	TRUE	918	0	random	0.788054	0.908566
19	rep10	FALSE	45020	1	random	0.795194	0.912533
19	rep10	TRUE	925	0	random	0.795194	0.912533
19	rep2	FALSE	44633	3	random	0.774879	0.911492
19	rep2	TRUE	895	0	random	0.774879	0.911492
19	rep3	FALSE	44094	0	random	0.791113	0.913395
19	rep3	TRUE	901	0	random	0.791113	0.913395
19	rep4	FALSE	43854	0	random	0.779104	0.918867
19	rep4	TRUE	884	0	random	0.779104	0.918867
19	rep5	FALSE	44482	0	random	0.782832	0.911489
19	rep5	TRUE	886	0	random	0.782832	0.911489
19	rep6	FALSE	44589	0	random	0.784682	0.90815
19	rep6	TRUE	914	0	random	0.784682	0.90815
19	rep7	FALSE	44473	0	random	0.778257	0.918236
19	rep7	TRUE	900	0	random	0.778257	0.918236
19	rep8	FALSE	44331	0	random	0.801469	0.915746
19	rep8	TRUE	903	0	random	0.801469	0.915746
19	rep9	FALSE	44643	1	random	0.785813	0.91476
19	rep9	TRUE	922	0	random	0.785813	0.91476
20	rep1	FALSE	44903	0	random	0.788338	0.915054
20	rep1	TRUE	443	0	random	0.788338	0.915054
20	rep10	FALSE	45005	0	random	0.777072	0.907402
20	rep10	TRUE	457	0	random	0.777072	0.907402
20	rep2	FALSE	45273	0	random	0.80082	0.913628
20	rep2	TRUE	458	0	random	0.80082	0.913628
20	rep3	FALSE	44591	0	random	0.776817	0.901662
20	rep3	TRUE	454	0	random	0.776817	0.901662
20	rep4	FALSE	45223	0	random	0.796506	0.908945
20	rep4	TRUE	455	0	random	0.796506	0.908945
20	rep5	FALSE	45329	0	random	0.773614	0.918639
20	rep5	TRUE	457	0	random	0.773614	0.918639
20	rep6	FALSE	44832	0	random	0.783836	0.916111
20	rep6	TRUE	459	0	random	0.783836	0.916111
20	rep7	FALSE	44876	0	random	0.805362	0.913117
20	rep7	TRUE	447	0	random	0.805362	0.913117
20	rep8	FALSE	44373	0	random	0.781273	0.91563
20	rep8	TRUE	439	0	random	0.781273	0.91563
20	rep9	FALSE	44871	0	random	0.793946	0.912291
20	rep9	TRUE	461	0	random	0.793946	0.912291
21	rep1	FALSE	45260	0	random	0.806437	0.909779
21	rep1	TRUE	181	0	random	0.806437	0.909779
21	rep10	FALSE	45608	3	random	0.810651	0.916876
21	rep10	TRUE	189	0	random	0.810651	0.916876
21	rep2	FALSE	45386	0	random	0.805746	0.913463
21	rep2	TRUE	177	0	random	0.805746	0.913463
21	rep3	FALSE	44881	0	random	0.815342	0.911702
21	rep3	TRUE	178	0	random	0.815342	0.911702
21	rep4	FALSE	44333	0	random	0.808455	0.916944
21	rep4	TRUE	180	0	random	0.808455	0.916944
21	rep5	FALSE	45484	0	random	0.811335	0.90839
21	rep5	TRUE	182	0	random	0.811335	0.90839
21	rep6	FALSE	45485	0	random	0.799806	0.912266
21	rep6	TRUE	180	0	random	0.799806	0.912266
21	rep7	FALSE	45203	0	random	0.801066	0.917671
21	rep7	TRUE	181	0	random	0.801066	0.917671
21	rep8	FALSE	44817	0	random	0.806232	0.914066
21	rep8	TRUE	175	0	random	0.806232	0.914066
21	rep9	FALSE	45426	6	random	0.812949	0.908261
21	rep9	TRUE	185	0	random	0.812949	0.908261
22	rep1	FALSE	44390	0	random	0.801723	0.920687
22	rep1	TRUE	927	0	random	0.801723	0.920687
22	rep10	FALSE	44824	0	random	0.79362	0.913274
22	rep10	TRUE	923	0	random	0.79362	0.913274
22	rep2	FALSE	44884	1	random	0.801728	0.921113
22	rep2	TRUE	921	0	random	0.801728	0.921113
22	rep3	FALSE	44021	0	random	0.796112	0.923183
22	rep3	TRUE	893	0	random	0.796112	0.923183
22	rep4	FALSE	43904	0	random	0.788239	0.920253
22	rep4	TRUE	887	0	random	0.788239	0.920253
22	rep5	FALSE	44572	0	random	0.782647	0.920722
22	rep5	TRUE	880	0	random	0.782647	0.920722
22	rep6	FALSE	44841	0	random	0.7899	0.922743
22	rep6	TRUE	919	0	random	0.7899	0.922743
22	rep7	FALSE	44292	0	random	0.797116	0.922848
22	rep7	TRUE	887	0	random	0.797116	0.922848
22	rep8	FALSE	44256	0	random	0.809514	0.924948
22	rep8	TRUE	901	0	random	0.809514	0.924948
22	rep9	FALSE	44756	0	random	0.80438	0.915232
22	rep9	TRUE	910	0	random	0.80438	0.915232
23	rep1	FALSE	45086	0	random	0.806593	0.926798
23	rep1	TRUE	445	0	random	0.806593	0.926798
23	rep10	FALSE	45190	0	random	0.790305	0.918699
23	rep10	TRUE	461	0	random	0.790305	0.918699
23	rep2	FALSE	45132	3	random	0.809607	0.91826700000000006
23	rep2	TRUE	456	0	random	0.809607	0.91826700000000006
23	rep3	FALSE	44695	2	random	0.806319	0.917981
23	rep3	TRUE	450	0	random	0.806319	0.917981
23	rep4	FALSE	45096	2	random	0.796251	0.917707
23	rep4	TRUE	455	0	random	0.796251	0.917707
23	rep5	FALSE	45281	0	random	0.797489	0.914939
23	rep5	TRUE	450	0	random	0.797489	0.914939
23	rep6	FALSE	44928	0	random	0.802678	0.92029
23	rep6	TRUE	462	0	random	0.802678	0.92029
23	rep7	FALSE	44768	0	random	0.810184	0.925227
23	rep7	TRUE	440	0	random	0.810184	0.925227
23	rep8	FALSE	44503	0	random	0.799719	0.925607
23	rep8	TRUE	444	0	random	0.799719	0.925607
23	rep9	FALSE	44729	0	random	0.804702	0.922605
23	rep9	TRUE	461	0	random	0.804702	0.922605
24	rep1	FALSE	45330	0	random	0.827908	0.921795
24	rep1	TRUE	179	0	random	0.827908	0.921795
24	rep10	FALSE	45533	1	random	0.80187	0.922298
24	rep10	TRUE	187	0	random	0.80187	0.922298
24	rep2	FALSE	45374	0	random	0.831124	0.920351
24	rep2	TRUE	176	0	random	0.831124	0.920351
24	rep3	FALSE	44927	0	random	0.836326	0.923991
24	rep3	TRUE	178	0	random	0.836326	0.923991
24	rep4	FALSE	44440	1	random	0.827301	0.925179
24	rep4	TRUE	182	0	random	0.827301	0.925179
24	rep5	FALSE	45303	0	random	0.807338	0.920245
24	rep5	TRUE	179	0	random	0.807338	0.920245
24	rep6	FALSE	45687	0	random	0.822517	0.918821
24	rep6	TRUE	181	0	random	0.822517	0.918821
24	rep7	FALSE	45248	0	random	0.81569	0.922446
24	rep7	TRUE	185	0	random	0.81569	0.922446
24	rep8	FALSE	45064	0	random	0.813242	0.919862
24	rep8	TRUE	174	0	random	0.813242	0.919862
24	rep9	FALSE	45335	0	random	0.825784	0.920304
24	rep9	TRUE	182	0	random	0.825784	0.920304
25	rep1	FALSE	44572	0	random	0.827804	0.923889
25	rep1	TRUE	921	0	random	0.827804	0.923889
25	rep10	FALSE	45023	0	random	0.81042	0.926053
25	rep10	TRUE	923	0	random	0.81042	0.926053
25	rep2	FALSE	44623	0	random	0.818865	0.922157
25	rep2	TRUE	907	0	random	0.818865	0.922157
25	rep3	FALSE	43957	1	random	0.818338	0.928951
25	rep3	TRUE	894	0	random	0.818338	0.928951
25	rep4	FALSE	43951	0	random	0.821664	0.92694
25	rep4	TRUE	888	0	random	0.821664	0.92694
25	rep5	FALSE	44442	0	random	0.809838	0.92822
25	rep5	TRUE	882	0	random	0.809838	0.92822
25	rep6	FALSE	44590	0	random	0.815101	0.924153
25	rep6	TRUE	916	0	random	0.815101	0.924153
25	rep7	FALSE	44468	0	random	0.822907	0.928832
25	rep7	TRUE	897	0	random	0.822907	0.928832
25	rep8	FALSE	44292	0	random	0.825357	0.929642
25	rep8	TRUE	898	0	random	0.825357	0.929642
25	rep9	FALSE	44820	0	random	0.806903	0.927358
25	rep9	TRUE	916	0	random	0.806903	0.927358
26	rep1	FALSE	45071	0	random	0.81941	0.931468
26	rep1	TRUE	450	0	random	0.81941	0.931468
